# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT IN SOURCE	TOKENS	FORM	VARIANTS	COMMENT	SOURCE	COGID	UNCERTAIN COGNACY	PARAGRAPH	ENTRY IN SOURCE	ALIGNMENT
#
174	Proto-Panoan	I		ʔ ɨ	ʔɨ			Oliveira2014	12		§11	*ʔɨ ‘**yo’	ʔ ɨ
175	Kakataibo	I		ʔ ɨ	ʔɨ-				12		§11	Ksh ʔɨ-	ʔ ɨ
176	ShipiboKonibo	I		ʔ ɨ	ʔɨ-				12		§11	SK ʔɨ-	ʔ ɨ
177	Kapanawa	I		ʔ ɨ	ʔɨ-				12		§11	Kp ʔɨ-	ʔ ɨ
178	Chakobo	I		ɨ	ɨ				12		§11	Ch ɨ ‘yo’	- ɨ
179	Amawaka	I		ɨ	ɨ-				12		§11	A ɨ-	- ɨ
180	Kaxinawa	I		ɨ	ɨ-				12		§11	Kn ɨ-	- ɨ
181	Marinawa	I		ɨ	ɨ				12		§11	M ɨ	- ɨ
#
3891	Proto-Panoan	abandoned rock		n|r/n a w ɨ	[n]awɨ			Oliveira2014	271		§267	*[n]awɨ ‘capoeira;;  roça abandonada’ :	n|r/n a w ɨ
3892	Kakataibo	abandoned rock		n a ɨ	naɨ				271		§267	Ksh naɨ ‘huerto o campo en actual uso’	n a - ɨ
3893	ShipiboKonibo	abandoned rock		n á/a w ɨ	náwɨ				271		§267	SK náwɨ, nawɨ ‘purma’ (LORIOT; LAURIAULT; DAY;; 1993), nawɨ	n á/a w ɨ
3894	ShipiboKonibo	abandoned rock		n a w ɨ	nawɨ			Loriot1993	271		§267	SK náwɨ, nawɨ ‘purma’ (LORIOT; LAURIAULT; DAY;; 1993), nawɨ	n a w ɨ
3895	ShipiboKonibo	abandoned rock		n a w ɨ	nawɨ				271		§267	SK náwɨ, nawɨ ‘purma’ (LORIOT; LAURIAULT; DAY;; 1993), nawɨ	n a w ɨ
3896	Kapanawa	abandoned rock		n a w ɨ	nawɨ				271		§267	Kp nawɨ ‘huerto abandonado o campo en su segundo cultivo’	n a w ɨ
3897	Chakobo	abandoned rock		n a w ɨ	nawɨ			Zingg1998	271		§267	Ch nawɨ ‘monte limpio’ (ZINGG;; 1998)	n a w ɨ
3898	Sharanawa	abandoned rock		n a w ɨ	nawɨ				271		§267	Shar nawɨ ‘denso;;  tupido (vegetación de una chacra abandonada)’	n a w ɨ
3899	Amawaka	abandoned rock		n a ɨ	naɨ_I				271		§267	A naɨ I ‘hierbas malas;;  huerto o campo abandonado’	n a - ɨ
3900	Kaxinawa	abandoned rock		n a w ɨ	nawɨ-				271		§267	Kn nawɨ- ‘limpiar el área alrededor de las casas’	n a w ɨ
3901	Marinawa	abandoned rock		n a w ɨ	nawɨ				271		§267	M nawɨ ‘huerto o campo viejo abandonado’	n a w ɨ
3902	Yawanawa	abandoned rock		n a u ɨ	nauɨ				271		§267	Yaw nauɨ ‘fumo’	n a u ɨ
3903	Matis	abandoned rock		n a w ɨ	nawɨ				271		§267	Mt nawɨ ‘mato’	n a w ɨ
5419	Marubo	abandoned rock		ɾ ũ m ɯ	ɾū̃mɯ]̆			Costa1992	377		§374	Mar ˈrumbɨ ‘tabaco’ (ANONBY; HOLBROOK;; 2010), romɨ ‘tabaco’ (CESARINO;; 2008), ɾomɨ [ɾū̃mɯ]̆ ‘fumo’ (COSTA;; 1992)	ɾ ũ m - ɯ -
5423	Katukina	abandoned rock		ɾ u m ɨ	ɾumɨ				377		§374	Kat ɾumɨ ‘fumo’	ɾ u m - ɨ -
#
3180	Proto-Panoan	above		m a n|r/n a n|r/n	ma[n]a[n]			Oliveira2014	218		§214	*ma[n]a[n] ‘sobre, encima;;  acima’ :	m a - - n|r/n a n|r/n -
3181	Kakataibo	above		m a n ã́/ã	manã́				218		§214	Ksh manã́ ‘encima;;  arriba’	m a n ã́/ã - - - -
3182	ShipiboKonibo	above		m a n ã́/ã	manã́				218		§214	SK manã́	m a n ã́/ã - - - -
3184	Kapanawa	above		m a n á/a n	manán				218		§214	Kp manán ‘colina;;  montaña’	m a - - n á/a n -
3185	Chakobo	above		m a n a	mana				218		§214	Ch mana	m a n a - - - -
